epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.8883,1.45054,3.23403,1.38758,0.01101,0.92418,0.26338,0.14945,1.06607,3.42779,1.2508,0.0002625,0.0002625,0.0002625
2,108.675,1.26161,2.69255,1.27653,0.01064,0.91307,0.26915,0.15916,1.13538,3.34361,1.30565,0.000484288,0.000484288,0.000484288
3,155.277,1.26633,2.38251,1.21456,0.8519,0.10686,0.35556,0.21026,1.57145,2.91206,1.85318,0.000651625,0.000651625,0.000651625
4,201.561,1.25813,2.18357,1.20177,0.81055,0.18494,0.41149,0.25266,1.50823,2.78908,1.55879,0.000764513,0.000764513,0.000764513
5,249.242,1.19453,2.07558,1.17393,0.35589,0.35626,0.40129,0.22599,1.41384,2.65666,1.41309,0.000755,0.000755,0.000755
6,295.803,1.15973,1.92701,1.18378,0.32086,0.67317,0.42721,0.25293,1.36577,2.16424,1.37394,0.00063125,0.00063125,0.00063125
7,341.7,1.07763,1.75373,1.14047,0.32563,0.72204,0.47882,0.29221,1.37135,1.85951,1.49157,0.0005075,0.0005075,0.0005075
8,389.47,1.06333,1.68286,1.09645,0.45525,0.64544,0.52414,0.32718,1.25804,1.71515,1.33351,0.00038375,0.00038375,0.00038375
9,436.101,1.02944,1.58557,1.08056,0.47043,0.68865,0.60063,0.38866,1.17807,1.62413,1.30427,0.00026,0.00026,0.00026
10,484.105,0.96595,1.45436,1.06802,0.53272,0.70907,0.64179,0.4247,1.21544,1.4624,1.30956,0.00013625,0.00013625,0.00013625
